row_id,order_id,created_at,item_id,quantity,cust_id,delivery,add_id
1,O100001,2025-10-06 18:53:40,3,2,204,0,204
2,O100002,2026-02-08 19:22:34,7,1,155,0,155
3,O100003,2025-09-20 20:52:31,2,4,260,1,260
4,O100004,2026-01-06 12:33:41,4,2,236,0,236
5,O100005,2026-01-14 17:46:37,4,3,276,1,276
6,O100006,2026-01-10 12:29:36,12,1,45,1,45
7,O100007,2025-12-09 12:13:22,20,1,15,1,15
8,O100008,2026-01-27 20:05:15,17,1,142,0,142
9,O100009,2026-03-01 18:28:50,1,1,124,1,124
10,O100010,2025-12-04 18:23:30,11,1,208,0,208
11,O100011,2025-12-16 18:17:19,3,1,282,1,282
12,O100012,2025-10-17 19:48:44,3,1,99,1,99
13,O100013,2026-02-14 21:33:38,4,1,248,1,248
14,O100014,2025-11-14 17:19:00,16,1,100,1,100
15,O100015,2026-02-05 13:08:40,22,1,24,0,24
16,O100016,2026-01-15 17:21:11,27,1,7,1,7
17,O100017,2025-10-03 17:04:36,13,1,245,0,245
18,O100018,2025-10-08 20:07:35,18,2,77,1,77
19,O100019,2026-01-10 20:19:55,12,1,116,1,116
20,O100020,2026-02-20 21:06:48,3,1,292,0,292
21,O100021,2025-11-17 12:04:10,1,1,42,0,42
22,O100022,2025-09-25 12:45:18,16,1,241,1,241
23,O100023,2026-02-24 18:51:59,3,1,120,1,120
24,O100024,2025-11-24 19:04:03,2,1,116,0,116
25,O100025,2026-01-07 12:44:19,16,3,292,1,292
26,O100026,2026-01-07 11:02:56,7,1,257,1,257
27,O100027,2025-10-10 12:43:53,22,2,129,0,129
28,O100028,2026-02-11 11:48:11,9,2,11,1,11
29,O100029,2026-02-13 17:52:31,27,1,143,0,143
30,O100030,2025-12-08 18:54:10,5,2,210,1,210
31,O100031,2026-02-04 11:05:20,3,1,148,1,148
32,O100032,2026-03-04 19:29:26,1,1,207,0,207
33,O100033,2025-09-30 12:35:08,26,1,256,1,256
34,O100034,2025-09-24 20:38:51,3,1,249,0,249
35,O100035,2026-02-05 17:14:53,26,1,283,0,283
36,O100036,2026-01-22 20:18:32,16,1,61,0,61
37,O100037,2025-11-18 17:09:24,3,2,248,1,248
38,O100038,2025-11-26 19:54:26,5,2,70,0,70
39,O100039,2025-11-28 19:53:37,11,2,137,0,137
40,O100040,2026-02-01 17:21:35,18,1,77,1,77
41,O100041,2026-03-14 12:24:14,22,1,165,0,165
42,O100042,2025-12-23 17:42:50,20,4,163,1,163
43,O100043,2025-10-19 17:37:21,23,3,254,0,254
44,O100044,2026-01-29 20:00:46,2,3,226,0,226
45,O100045,2026-01-15 19:16:21,13,1,80,0,80
46,O100046,2026-03-08 19:24:20,13,3,42,1,42
47,O100047,2026-02-22 11:40:43,26,4,250,0,250
48,O100048,2025-10-12 19:45:55,2,1,47,1,47
49,O100049,2025-09-28 13:03:18,6,1,154,0,154
50,O100050,2026-02-08 18:11:10,2,2,126,1,126
51,O100051,2026-01-22 20:09:14,8,1,196,0,196
52,O100052,2026-01-14 20:43:34,2,1,131,0,131
53,O100053,2026-02-27 21:44:16,8,1,177,1,177
54,O100054,2025-10-14 12:36:22,11,4,197,1,197
55,O100055,2026-03-04 17:00:36,22,2,152,0,152
56,O100056,2025-11-29 19:14:38,20,1,26,1,26
57,O100057,2026-03-09 19:49:42,15,1,98,1,98
58,O100058,2025-12-05 19:02:37,6,1,50,0,50
59,O100059,2026-01-01 12:08:50,10,4,152,1,152
60,O100060,2025-10-29 12:52:30,27,1,272,1,272
61,O100061,2026-01-14 20:09:48,27,3,174,0,174
62,O100062,2025-10-10 19:00:16,10,1,204,1,204
63,O100063,2026-02-27 21:06:43,3,1,135,1,135
64,O100064,2026-02-20 12:04:40,20,3,288,1,288
65,O100065,2025-10-16 12:02:19,28,1,155,1,155
66,O100066,2025-12-25 17:42:47,15,1,121,0,121
67,O100067,2026-03-03 11:31:39,7,4,80,1,80
68,O100068,2025-11-11 17:15:54,6,4,17,1,17
69,O100069,2025-10-02 17:12:07,27,2,189,1,189
70,O100070,2026-02-28 18:01:03,19,1,47,0,47
71,O100071,2025-10-04 20:35:13,12,2,65,0,65
72,O100072,2025-10-24 19:38:00,4,4,120,1,120
73,O100073,2025-10-31 12:55:01,2,1,67,1,67
74,O100074,2025-09-21 12:03:08,17,1,122,1,122
